x,D_star_c_target_0
100,12.05572510
200,13.57855225
300,14.43133545
400,15.04046631
500,15.49731445
600,15.86279297
700,16.16735840
800,16.44146729
900,16.68511963
1000,16.89831543
1100,17.08105469
1200,17.26379395
1300,17.41607666
1400,17.56835938
1500,17.69018555
1600,17.84246826
1700,17.96429443
1800,18.05566406
1900,18.17749023
2000,18.26885986
2100,18.36022949
2200,18.45159912
2300,18.54296875
2400,18.63433838
2500,18.72570801
2600,18.78662109
2700,18.87799072
2800,18.93890381
2900,18.99981689
3000,19.06072998
3100,19.15209961
3200,19.21301270
3300,19.27392578
3400,19.33483887
3500,19.36529541
3600,19.42620850
3700,19.48712158
3800,19.54803467
3900,19.57849121
4000,19.63940430
4100,19.70031738
4200,19.73077393
4300,19.79168701
4400,19.82214355
4500,19.88305664
4600,19.91351318
4700,19.94396973
4800,20.00488281
4900,20.03533936
5000,20.09625244
5100,20.12670898
5200,20.15716553
5300,20.18762207
5400,20.24853516
5500,20.27899170
5600,20.30944824
5700,20.33990479
5800,20.37036133
5900,20.40081787
6000,20.43127441
6100,20.46173096
6200,20.49218750
6300,20.52264404
6400,20.58355713
6500,20.61401367
6600,20.61401367
6700,20.64447021
6800,20.67492676
6900,20.70538330
7000,20.73583984
7100,20.76629639
7200,20.79675293
7300,20.82720947
7400,20.85766602
7500,20.88812256
7600,20.91857910
7700,20.91857910
7800,20.94903564
7900,20.97949219
8000,21.00994873
8100,21.04040527
8200,21.04040527
8300,21.07086182
8400,21.10131836
8500,21.13177490
8600,21.16223145
8700,21.16223145
8800,21.19268799
8900,21.22314453
9000,21.25360107
9100,21.25360107
9200,21.28405762
9300,21.31451416
9400,21.31451416
9500,21.34497070
9600,21.37542725
9700,21.37542725
9800,21.40588379
9900,21.43634033
10000,21.43634033
10100,21.46679688
10200,21.49725342
10300,21.49725342
10400,21.52770996
10500,21.52770996
10600,21.55816650
10700,21.58862305
10800,21.58862305
10900,21.61907959
11000,21.64953613
11100,21.64953613
11200,21.67999268
11300,21.67999268
11400,21.71044922
11500,21.71044922
11600,21.74090576
11700,21.77136230
11800,21.77136230
11900,21.80181885
12000,21.80181885
12100,21.83227539
12200,21.83227539
12300,21.86273193
12400,21.86273193
12500,21.89318848
12600,21.89318848
12700,21.92364502
12800,21.92364502
12900,21.95410156
13000,21.95410156
13100,21.98455811
13200,21.98455811
13300,22.01501465
13400,22.01501465
13500,22.04547119
13600,22.04547119
13700,22.07592773
13800,22.07592773
13900,22.10638428
14000,22.10638428
14100,22.13684082
14200,22.13684082
14300,22.16729736
14400,22.16729736
14500,22.16729736
14600,22.19775391
14700,22.19775391
14800,22.22821045
14900,22.22821045
15000,22.25866699
15100,22.25866699
15200,22.28912354
15300,22.28912354
15400,22.28912354
15500,22.31958008
15600,22.31958008
15700,22.35003662
15800,22.35003662
15900,22.35003662
16000,22.38049316
16100,22.38049316
16200,22.41094971
16300,22.41094971
16400,22.41094971
16500,22.44140625
16600,22.44140625
16700,22.47186279
16800,22.47186279
16900,22.47186279
17000,22.50231934
17100,22.50231934
17200,22.53277588
17300,22.53277588
17400,22.53277588
17500,22.56323242
17600,22.56323242
17700,22.56323242
17800,22.59368896
17900,22.59368896
18000,22.59368896
18100,22.62414551
18200,22.62414551
18300,22.65460205
18400,22.65460205
18500,22.65460205
18600,22.68505859
18700,22.68505859
18800,22.68505859
18900,22.71551514
19000,22.71551514
19100,22.71551514
19200,22.74597168
19300,22.74597168
19400,22.74597168
19500,22.77642822
19600,22.77642822
19700,22.77642822
19800,22.80688477
19900,22.80688477
20000,22.80688477
