x,D_star_c_target_0
100,5.26391602
200,6.87811279
300,7.82226562
400,8.49230957
500,9.01007080
600,9.43646240
700,9.80194092
800,10.10650635
900,10.38061523
1000,10.62426758
1100,10.86791992
1200,11.05065918
1300,11.23339844
1400,11.41613770
1500,11.56842041
1600,11.72070312
1700,11.87298584
1800,11.99481201
1900,12.14709473
2000,12.23846436
2100,12.36029053
2200,12.48211670
2300,12.57348633
2400,12.66485596
2500,12.78668213
2600,12.87805176
2700,12.93896484
2800,13.03033447
2900,13.12170410
3000,13.21307373
3100,13.27398682
3200,13.33489990
3300,13.42626953
3400,13.48718262
3500,13.54809570
3600,13.63946533
3700,13.70037842
3800,13.76129150
3900,13.82220459
4000,13.88311768
4100,13.91357422
4200,13.97448730
4300,14.03540039
4400,14.09631348
4500,14.15722656
4600,14.18768311
4700,14.24859619
4800,14.30950928
4900,14.33996582
5000,14.40087891
5100,14.43133545
5200,14.49224854
5300,14.52270508
5400,14.58361816
5500,14.61407471
5600,14.64453125
5700,14.70544434
5800,14.73590088
5900,14.76635742
6000,14.82727051
6100,14.85772705
6200,14.88818359
6300,14.91864014
6400,14.97955322
6500,15.01000977
6600,15.04046631
6700,15.07092285
6800,15.10137939
6900,15.13183594
7000,15.16229248
7100,15.22320557
7200,15.25366211
7300,15.28411865
7400,15.31457520
7500,15.34503174
7600,15.37548828
7700,15.40594482
7800,15.43640137
7900,15.46685791
8000,15.49731445
8100,15.52777100
8200,15.55822754
8300,15.55822754
8400,15.58868408
8500,15.61914062
8600,15.64959717
8700,15.68005371
8800,15.71051025
8900,15.74096680
9000,15.77142334
9100,15.80187988
9200,15.80187988
9300,15.83233643
9400,15.86279297
9500,15.89324951
9600,15.92370605
9700,15.92370605
9800,15.95416260
9900,15.98461914
10000,16.01507568
10100,16.04553223
10200,16.04553223
10300,16.07598877
10400,16.10644531
10500,16.10644531
10600,16.13690186
10700,16.16735840
10800,16.19781494
10900,16.19781494
11000,16.22827148
11100,16.25872803
11200,16.25872803
11300,16.28918457
11400,16.31964111
11500,16.31964111
11600,16.35009766
11700,16.38055420
11800,16.38055420
11900,16.41101074
12000,16.44146729
12100,16.44146729
12200,16.47192383
12300,16.50238037
12400,16.50238037
12500,16.53283691
12600,16.53283691
12700,16.56329346
12800,16.59375000
12900,16.59375000
13000,16.62420654
13100,16.62420654
13200,16.65466309
13300,16.68511963
13400,16.68511963
13500,16.71557617
13600,16.71557617
13700,16.74603271
13800,16.74603271
13900,16.77648926
14000,16.80694580
14100,16.80694580
14200,16.83740234
14300,16.83740234
14400,16.86785889
14500,16.86785889
14600,16.89831543
14700,16.89831543
14800,16.92877197
14900,16.92877197
15000,16.95922852
15100,16.95922852
15200,16.98968506
15300,16.98968506
15400,17.02014160
15500,17.02014160
15600,17.05059814
15700,17.05059814
15800,17.08105469
15900,17.08105469
16000,17.11151123
16100,17.11151123
16200,17.14196777
16300,17.14196777
16400,17.17242432
16500,17.17242432
16600,17.20288086
16700,17.20288086
16800,17.20288086
16900,17.23333740
17000,17.23333740
17100,17.26379395
17200,17.26379395
17300,17.29425049
17400,17.29425049
17500,17.32470703
17600,17.32470703
17700,17.32470703
17800,17.35516357
17900,17.35516357
18000,17.38562012
18100,17.38562012
18200,17.41607666
18300,17.41607666
18400,17.41607666
18500,17.44653320
18600,17.44653320
18700,17.47698975
18800,17.47698975
18900,17.50744629
19000,17.50744629
19100,17.50744629
19200,17.53790283
19300,17.53790283
19400,17.56835938
19500,17.56835938
19600,17.56835938
19700,17.59881592
19800,17.59881592
19900,17.59881592
20000,17.62927246
