x,y
1.000000000000000021e-03,5.000000000000000000e+00
2.000000000000000042e-03,7.000000000000000000e+00
3.000000000000000062e-03,8.000000000000000000e+00
4.000000000000000083e-03,1.000000000000000000e+01
5.000000000000000104e-03,1.200000000000000000e+01
6.000000000000000125e-03,1.400000000000000000e+01
7.000000000000000146e-03,1.700000000000000000e+01
8.000000000000000167e-03,1.900000000000000000e+01
9.000000000000001055e-03,2.200000000000000000e+01
1.000000000000000194e-02,2.500000000000000000e+01
1.099999999999999936e-02,2.800000000000000000e+01
1.200000000000000025e-02,3.100000000000000000e+01
1.300000000000000114e-02,3.400000000000000000e+01
1.400000000000000203e-02,3.800000000000000000e+01
1.499999999999999944e-02,4.200000000000000000e+01
1.600000000000000033e-02,4.600000000000000000e+01
1.700000000000000122e-02,5.100000000000000000e+01
1.800000000000000211e-02,5.600000000000000000e+01
1.900000000000000300e-02,6.100000000000000000e+01
2.000000000000000042e-02,6.700000000000000000e+01
