x,y
1.000000000000000056e-01,2.270919084548950456e-03
1.250000000000000000e-01,3.437370061874389648e-03
1.499999999999999944e-01,4.800778627395629709e-03
1.749999999999999889e-01,6.344406306743621306e-03
2.000000000000000111e-01,8.053314685821533897e-03
2.249999999999999778e-01,9.914014488458633423e-03
2.500000000000000000e-01,1.191418617963790894e-02
2.750000000000000222e-01,1.404244005680084506e-02
2.999999999999999889e-01,1.628811657428741455e-02
3.249999999999999556e-01,1.864109709858893793e-02
3.499999999999999778e-01,2.109166160225867809e-02
3.750000000000000000e-01,2.363032288849353790e-02
4.000000000000000222e-01,2.624768614768983183e-02
4.249999999999999334e-01,2.893428839743137151e-02
4.499999999999999556e-01,3.168044239282607338e-02
4.749999999999999778e-01,3.447607085108757297e-02
5.000000000000000000e-01,3.731047362089157104e-02
5.250000000000000222e-01,4.017213992774486958e-02
5.499999999999999334e-01,4.304840862751006803e-02
5.749999999999999556e-01,4.592513367533684193e-02
5.999999999999999778e-01,4.878622293472290039e-02
6.249999999999998890e-01,5.161301046609879928e-02
6.499999999999999112e-01,5.438344702124596475e-02
6.749999999999999334e-01,5.707098543643953498e-02
6.999999999999999556e-01,5.964294970035554505e-02
7.249999999999999778e-01,6.205822825431824008e-02
7.499999999999998890e-01,6.426369398832323943e-02
7.749999999999999112e-01,6.618868410587312734e-02
7.999999999999999334e-01,6.773577928543093873e-02
8.249999999999999556e-01,6.876463294029239171e-02
8.499999999999998668e-01,6.906131207942967087e-02
8.749999999999998890e-01,6.827402114868169614e-02
8.999999999999999112e-01,6.575844883918768868e-02
9.249999999999999334e-01,6.013134419918066825e-02
9.499999999999999556e-01,4.781697392463688662e-02
