x,y
1.000000000000000056e-01,5.748291015625001110e-02
1.499999999999999944e-01,8.586730957031249445e-02
2.000000000000000111e-01,1.139221191406250000e-01
2.500000000000000000e-01,1.415176391601562500e-01
2.999999999999999889e-01,1.687042236328125111e-01
3.499999999999999778e-01,1.954597473144530639e-01
4.000000000000000222e-01,2.217529296874999889e-01
4.499999999999999556e-01,2.470687866210937444e-01
5.000000000000000000e-01,2.715301513671875000e-01
5.499999999999999334e-01,2.952163696289061834e-01
5.999999999999999778e-01,3.172546386718750888e-01
6.499999999999999112e-01,3.197830200195312944e-01
6.999999999999999556e-01,2.838592529296876110e-01
7.499999999999998890e-01,2.427520751953126110e-01
7.999999999999999334e-01,1.975463867187500777e-01
8.499999999999998668e-01,1.495239257812501499e-01
8.999999999999999112e-01,9.997558593750008327e-02
9.499999999999999556e-01,4.999389648437504302e-02
